"","","ME","RMSE","MAE","MPE","MAPE","ME","RMSE","MAE","MPE","MAPE"
"Test set","Alabama","-0.40147964028682","73.9832216533234","53.8707753957357","-3.13419259907715","5.29619203229757","-573.723371751908","619.790217496594","573.723371751908","-1.93310389947422","1.93310389947422"
"Test set","Alaska","-0.00115577100467095","2.3955618365161","1.75687030792761","-0.288913051972401","3.69974445137177","116.510898664442","129.652292172308","116.510898664442","13.5923300935714","13.5923300935714"
"Test set","Arizona","0.0275917791211859","117.054591115713","62.9579323564541","3.98173362825322","51.8981898163759","4412.19180754462","5077.6639748062","4412.19180754462","8.4044229570749","8.4044229570749"
"Test set","Arkansas","-0.0444747999654562","35.054402700418","22.5602466908084","-6.48649421146093","8.7053844492686","873.656038339176","975.312494954308","873.656038339176","5.6204347848161","5.6204347848161"
"Test set","California","-0.0311144075970584","235.15180989049","143.836456236217","-1.65973403790372","4.36375498449731","5568.33973358673","6757.74710326127","5568.33973358673","3.06771907027709","3.06771907027709"
"Test set","Colorado","-0.264742526315003","34.4472120654384","20.8420746072018","-2.0864737794075","3.04185897932126","503.051700583562","553.926240696627","503.051700583562","1.65003031893529","1.65003031893529"
"Test set","Connecticut","-1.26018120056404","136.969021564152","87.749099270671","-2.62679954336235","4.30351416403204","291.014569196163","335.002744290147","291.014569196163","0.636116695851648","0.636116695851648"
"Test set","Delaware","-0.282080040618912","36.0084582730574","22.2539684025745","-2.9709321456972","4.8297366181343","67.818541611266","90.7349728472123","76.6359663717722","0.62818377554842","0.712393020405197"
"Test set","District of Columbia","-0.295533514632549","16.1967894340415","10.9573434279484","-2.60867698639803","3.90895218592321","-33.5191886212381","39.1650043357496","33.5191886212381","-0.334431910500943","0.334431910500943"
"Test set","Florida","-0.111290970785915","170.025175429413","120.666259573261","-3.80678424507224","10.4341020405416","2611.76508469984","3114.68837146927","2611.76508469984","2.67627421527703","2.67627421527703"
"Test set","Georgia","-0.3770467689058","216.617103443774","149.136202975899","-4.1270300711271","8.89873676615947","1621.50100888866","2046.18720274749","1621.50100888866","2.60153365171743","2.60153365171743"
"Test set","Hawaii","-0.00121631695473529","2.01889421975389","1.33189810148991","-0.206966505437683","2.01039755431384","89.8581331365282","101.352927213736","89.8581331365282","11.3162054819992","11.3162054819992"
"Test set","Idaho","-0.0125911943389631","9.37428187507783","6.70601684716311","-1.79111776058427","3.91801253731396","398.506957908426","491.763238042649","398.506957908426","9.5645683639437","9.5645683639437"
"Test set","Illinois","0.0863362575086666","257.309178426594","144.861260260202","-0.557559105213304","11.4935027596023","201.187441872516","263.444906311923","234.227320184091","0.145439060485743","0.169831502246801"
"Test set","Indiana","-0.288211455945256","85.1918529257004","61.5743575840117","0.252131173569789","5.40928665213268","-42.3908291343635","51.1744147112234","45.0927923841071","-0.0986788982102421","0.10489087919641"
"Test set","Iowa","0.00949628470602053","82.2294347546517","55.9611510793101","-0.857744863874113","3.23686902716347","674.242035300759","768.625351871946","674.242035300759","2.59924292820592","2.59924292820592"
"Test set","Kansas","0.123436530761667","54.3002483072009","36.7220778155318","-0.327848914407802","4.8941213472427","413.529843100714","459.109785439773","413.529843100714","3.34610602316047","3.34610602316047"
"Test set","Kentucky","-0.380419361398025","38.4938423890037","26.8996459802639","-1.39912573372946","3.22352389238002","416.618240372779","439.145177231327","416.618240372779","3.00353933687284","3.00353933687284"
"Test set","Louisiana","-0.230782065334925","187.699210428753","124.294206597843","6.29466981370181","13.1877795766894","1600.82497954769","2017.82239645893","1600.82497954769","3.17106325136058","3.17106325136058"
"Test set","Maine","-0.0158890535815097","4.88146232175599","3.63050664575772","-1.36791580793696","3.56634855780725","17.6411930587729","26.1254323987882","21.5203252964637","0.607038002222279","0.736711046976723"
"Test set","Maryland","-0.988538052401729","159.672684978302","114.553225205193","-2.25805136917261","5.98532059158835","-502.516644966088","563.817969712225","502.516644966088","-0.774477790112089","0.774477790112089"
"Test set","Massachusetts","-1.20856247691874","145.264578976381","63.1789407850941","-0.489837545534356","2.09751154448291","457.559050844246","477.904843650547","457.559050844246","0.427829595595839","0.427829595595839"
"Test set","Michigan","-0.749478548201868","348.989225464561","197.765941509699","-23.2604370056398","32.4235731858199","895.917161020656","955.342195588981","895.917161020656","1.32159718609248","1.32159718609248"
"Test set","Minnesota","0.524672660689932","76.1866068766752","52.1346468876274","1.17350437729131","4.84518300552946","476.133105442422","558.627065500838","476.133105442422","1.44621995497379","1.44621995497379"
"Test set","Mississippi","-0.262940184300102","65.3886058521787","48.8220420677844","-5.82831554852615","14.5577846715844","209.947111474589","483.358980660435","396.902750660677","0.926363869518674","1.81569713555467"
"Test set","Missouri","-0.0915962889823511","47.4588056941837","34.8042437954817","-3.40186923136962","5.82411746697996","687.005032491984","802.869160037517","687.005032491984","3.7079857504416","3.7079857504416"
"Test set","Montana","-0.000867493086002716","3.00731044789497","2.08519446061981","-0.189928053617168","2.14871602522581","74.6074788152027","87.8219550358261","74.6074788152027","10.4348703105408","10.4348703105408"
"Test set","Nebraska","0.194141065092728","25.0582534604805","15.0590856103767","0.253766877640007","1.25895858236782","287.393147367081","314.891397029721","287.393147367081","1.61388966216021","1.61388966216021"
"Test set","Nevada","-0.0274408845312422","31.9290634467818","24.4845024007525","-1.62561722656005","9.79339004010324","419.208870892287","529.674569533364","422.676766264973","3.11673466331855","3.14599466477557"
"Test set","New Hampshire","-0.124123898802977","6.67991705670623","4.76244807327624","-1.76496252291151","2.69690395688248","-36.7340957845819","54.4097321640914","45.4919221451187","-0.660524428833634","0.821632345694135"
"Test set","New Jersey","-1.06275021404902","264.713054546053","188.769604905775","-4.1432058074333","11.4948724984726","1168.91417543776","1352.44058351817","1168.91417543776","0.691000846243221","0.691000846243221"
"Test set","New Mexico","-0.0543894605832371","18.3161084015238","13.3478300241545","-0.911170284682112","1.66130198670975","189.305502263052","221.105910958056","189.305502263052","1.78865902740646","1.78865902740646"
"Test set","New York","-4.51132552283976","406.408481016561","241.66222989628","-3.8332496663873","4.85399752398288","6149.62564655965","7062.75535946896","6149.62564655965","1.56599896147162","1.56599896147162"
"Test set","North Carolina","-0.529331468753303","163.689419895527","110.115339447928","-31.9918259270587","37.7997339071537","-548.863944437283","620.316274870049","548.863944437283","-1.06727467444587","1.06727467444587"
"Test set","North Dakota","0.00242535218660122","4.14700232190025","2.80826924845652","-0.829873853637316","2.09516694907455","27.0916807785549","28.4087775518591","27.0916807785549","0.828465371653784","0.828465371653784"
"Test set","Ohio","-0.233258448984709","40.3107458206656","26.058624893497","-0.993945681592861","2.90295308365033","1447.69427524659","1748.19477721115","1447.69427524659","3.21078586160019","3.21078586160019"
"Test set","Oklahoma","-0.0397581907299789","27.9385758828515","20.8647346797818","-2.07208963609122","9.51677303823992","637.704009364916","739.316176025158","637.704009364916","6.1153159814485","6.1153159814485"
"Test set","Oregon","-0.00347260859347796","15.771834433754","11.0426805138689","-1.20537050965345","12.7662095629018","-64.6480086312914","80.8340993096253","66.2041417913813","-0.933461026970961","0.958459150024613"
"Test set","Pennsylvania","-0.616634729733494","186.212930923898","130.834286257887","3.42295390172556","13.9638730844326","785.79104481009","1003.69079931325","785.79104481009","0.908764970033672","0.908764970033672"
"Test set","Rhode Island","-0.0851327668754825","23.6468614370207","15.6844094210506","-0.650702846957288","3.09777426802974","160.998446669872","192.339524333461","160.998446669872","0.980504478014804","0.980504478014804"
"Test set","South Carolina","-0.00120683729606267","57.4002922681143","42.7563487991519","-2.79502974824715","10.7619611940202","234.557873926349","447.440526358761","395.783842473485","0.858238795432508","1.63004269150683"
"Test set","South Dakota","-0.0497168896354678","11.7618056712786","7.74253006787069","-0.235775568953603","1.56481314651369","200.348547421894","214.285082106078","200.348547421894","3.20266553380528","3.20266553380528"
"Test set","Tennessee","-0.663527835797303","79.3566751798487","48.1150034916712","-11.6869152923983","14.7725036577902","883.991259040031","1157.27714617227","927.125819553497","2.51450370266661","2.64782821200069"
"Test set","Texas","-0.320051148288052","223.368379044346","140.526420689723","-5.072393514869","12.6756865691345","6471.54392758334","7401.30271303757","6471.54392758334","5.59806806999433","5.59806806999433"
"Test set","Utah","-0.0633744741150304","39.8454247917601","25.2902849930352","-4.00468472369287","10.580465649861","591.008101824185","667.589335280733","591.008101824185","3.37177988977016","3.37177988977016"
"Test set","Vermont","-0.00557916495622126","3.58501528162336","2.29920113570106","-0.416362224679545","2.61236159900911","74.129632742984","86.2207511208962","74.129632742984","6.41148623939046","6.41148623939046"
"Test set","Virginia","-0.917128263349483","116.373020496675","73.1481205753928","-7.9891561050461","8.93312904039169","-515.245015857311","532.545486990486","515.245015857311","-0.893959934619635","0.893959934619635"
"Test set","Washington","-0.0915357145097434","88.1209365501837","53.7143714030776","-14.9139536513017","65.2588437308313","501.368644587982","583.11022910669","501.368644587982","1.67282571373249","1.67282571373249"
"Test set","West Virginia","-0.0225581841847286","10.1334417139877","7.17107906533335","-3.23519959831846","7.26072993904824","83.0554991586388","94.7045257954268","83.0554991586388","3.27643665222263","3.27643665222263"
"Test set","Wisconsin","-0.03354019727126","79.644086895573","46.2939974367147","-2.14563215855176","29.4140583643025","184.468019453096","200.636117880266","184.468019453096","0.743072502768731","0.743072502768731"
"Test set","Wyoming","-0.0210469527224081","4.47810377473598","2.85884982504408","-1.09561123661427","3.72344080724166","97.3505544979612","108.658547110889","97.3505544979612","8.0776968870481","8.0776968870481"
"Test set","US","-2.05250794015284","2541.36464702438","1653.74039236263","6.74095439707733","88.596286511285","37429.445116752","43634.5527389945","37429.445116752","1.62824079787733","1.62824079787733"
